Sl. No.,State/UT,Marginal,Small
1,Andaman and Nicobar Islands,5154,2533
2,Andhra Pradesh,5904039,1646246
3,Arunachal Pradesh,27161,24056
4,Assam,1868020,495313
5,Bihar,14970585,943796
6,Chandigarh,480,139
7,Chhattisgarh,2434321,879477
8,Dadra and Nagar Haveli,8511,3829
9,Daman and Diu,7422,423
10,Delhi,11489,5436
11,Goa,59472,8083
12,Gujarat,2018827,1615788
13,Haryana,802396,313937
14,Himachal Pradesh,712204,173456
15,Jammu and Kashmir,1186887,159988
16,Jharkhand,1961615,418684
17,Karnataka,4767132,2213732
18,Kerala,7333248,181372
19,Lakshadweep,9562,281
20,Madhya Pradesh,4834531,2724684
21,Maharashtra,7815823,4339259
22,Manipur,76705,48737
23,Meghalaya,122748,60268
24,Mizoram,44963,27483
25,Nagaland,8211,29790
26,Odisha,3636658,887272
27,Puducherry,28361,3385
28,Punjab,154412,207436
29,Rajasthan,3070873,1677372
30,Sikkim,44294,12767
31,Tamil Nadu,6224319,1119229
32,Telangana,3840131,1408979
33,Tripura,504105,47987
34,Uttar Pradesh,19099828,3008403
35,Uttarakhand,659064,148817
36,West Bengal,5997758,970895
All India,All India,100251309,25809332
